,personality,action,response
0,EUN,say welcome,"Benvenuto! ^start(animations/Stand/Gestures/Hey_3) \\pau=500\\ insomma, \\pau=500\\ salve, \\pau=500\\ ben arrivato... \\pau=500\\ scusami il ritardo, \\pau=500\\ È un piacere conoscerti! ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_1)"
1,EUN,talk,"Ehhmmmmmmm, \\pau=500\\ Come ti senti? ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_5)"
2,EUN,speak about rules,"Vorrei che tu mi aiutassi a costruire una torre di cubetti.^start(animations/Stand/Gestures/Thinking_6) \\pau=700\\ mi sa che mi devi aiutare, \\pau=500\\ non riesco mai a organizzarla correttamente, l' ho già costruita quattro volte. \\pau=500\\ Penso comunque che ci divertiremo!^start(animations/Stand/Gestures/This_1)\\pau=500\\ "
2,EUN,speak about rules,"Dovrai impilare un cubetto per volta seguendo i miei suggerimenti ^start(animations/Stand/Gestures/Thinking_6) \\pau=500\\ Quando hai finito ricordati di toccarmi una volta la testa per passare alla prossima istruzione \\pau=500\\^start('animations/Stand/Gestures/Give_3') Io mi distraggo facilmente \\pau=500\\"
3,EUN,ask to order tower,"^start(animations/Stand/Gestures/Give_1) Metti il cubetto viola sopra quello blu, \\pau=500\\ no scusa quello rosso sopra quello blu"
4,EUN,ask to order tower,"^start(animations/Stand/Gestures/Explain_8) Metti ora il cubetto giallo sopra quello rosso,  ^start(animations/Stand/Gestures/Give_4) \\pau=500\\ sta diventando proprio una bella torre"
5,EUN,ask to order tower,"^start(animations/Stand/Gestures/Explain_5) Posiziona il cubetto verde sopra quello giallo, \\pau=500\\ non preoccuparti se non sono ben allineati "
6,EUN,ask to order tower,"Concludi con il giallo, \\pau=500\\ no lo hai già messo. \\pau=800\\ Concludi con il viola ^start(animations/Stand/Gestures/Explain_11)"
7,EUN,say goodbye,"'Fantastico! ^start(animations/Stand/Gestures/Enthusiastic_4) \\pau=500\\ Abbiamo finito di giocare, \\pau=500\\ l'esperimento è finito! \\pau=700\\ Davvero grazie mille per aver condiviso questo momento con me!'^start(boston_animation_library/Stand/emphasize_3)"
8,EUN,say goodbye,"Arrivederci, \\pau=500\\ a più tardi... \\pau=500\\ forse, \\pau=500\\ spero di rivederti presto! ^start(boston_animation_library/Stand/me_you_01) "


