,personality,action,response
0,Extrovert,say welcome,"Benvenuto! ^start(animations/Stand/Gestures/Hey_1) È un piacere conoscerti! ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_1) Sono così felice che tu sia qui! ^start(animations/Stand/Gestures/You_2)"
1,Extrovert,talk,"Come va? ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_5) Spero che tu stia bene e che tu stia godendo una splendida giornata!^start(animations/Stand/Emotions/Positive/Excited_3) Io sto benissimo. ^start(animations/Stand/Gestures/Me_8)"
2,Extrovert,speak about rules,"Vorrei che tu mi aiutassi a costruire una torre di cubetti.^start(animations/Stand/Gestures/Thinking_6) Sarà divertentissimo!^start(animations/Stand/Gestures/This_1) Voglio creare una torre alta e solida! Con dei cubetti colorati la torre sarà ancora più bella!^start(animations/Stand/Gestures/ShowSky_12)"
3,Extrovert,ask to order tower,"^start(animations/Stand/Gestures/Give_1) Posiziona il cubetto rosso sopra quello blu "
4,Extrovert,ask to order tower,"^start(animations/Stand/Gestures/Explain_8) Metti ora il cubetto giallo sopra quello rosso,  ^start(animations/Stand/Gestures/Give_4) sta diventando proprio una bella torre"
5,Extrovert,ask to order tower,"^start(animations/Stand/Gestures/Explain_5) Posiziona il cubetto verde sopra quello giallo "
6,Extrovert,ask to order tower,"E infine metti il cubetto viola  per avere una torre bellissima ^start(animations/Stand/Gestures/Explain_11)"
7,Extrovert,say goodbye,"'Fantastico! ^start(animations/Stand/Gestures/Enthusiastic_4) Abbiamo finito di giocare, l'esperimento è finito! Grazie mille per aver condiviso questo momento con me!'^start(boston_animation_library/Stand/emphasize_3)"
8,Extrovert,say goodbye,"Arrivederci, spero di rivederti presto! ^start(boston_animation_library/Stand/me_you_01)"
9,Introvert,say welcome,"Benvenuto. ^start(animations/Stand/Gestures/Hey_6)"
10,Introvert,talk,"Come ti senti oggi? ^start(animations/Stand/Gestures/You_3)"
11,Introvert,speak about rules,"Ti ho chiamato perchè devo costruire una torre di cubetti. ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_10) Potresti mica aiutarmi?.^start('animations/Stand/Gestures/Give_3')"
13,Introvert,ask to order tower,"^start(animations/Stand/Gestures/Explain_1) Inpila il cubetto rosso sopra quello blu "
14,Introvert,ask to order tower,"^start(animations/Stand/Gestures/Explain_6) Metti il cubetto giallo sopra quello rosso "
15,Introvert,ask to order tower,"Posiziona il cubetto verde sopra quello giallo ^start(animations/Stand/Gestures/Explain_7)"
16,Introvert,ask to order tower,"E infine metti il cubetto viola ^start(animations/Stand/Gestures/Explain_1)"
17,Introvert,say goodbye,"Grazie del tuo aiuto, ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_10) abbiamo finito "
18,Introvert,say goodbye,"^start(animations/Stand/Gestures/Hey_10) Arrivederci "
19,Agreeable,say welcome,"Benvenuto! ^start('animations/Stand/Gestures/Hey_3') È un piacere averti qui. "
20,Agreeable,talk,"Come stai? ^start('animations/Stand/Gestures/You_5') Spero che tu stia bene."
21,Agreeable,speak about rules,"Potremmo costruire una torre di cubetti. ^start('animations/Stand/BodyTalk/Speaking/BodyTalk_11') Avrei bisogno del tuo aiuto. ^start('animations/Stand/Gestures/You_5') Saresti così gentile da aiutarmi?"
22,Agreeable,ask to order tower,"Inpila gentilmente il cubetto rosso sopra quello blu ^start('animations/Stand/Gestures/Give_5')"
23,Agreeable,ask to order tower,"Metti il cubetto giallo sopra quello rosso ^start('animations/Stand/Gestures/Give_6')"
24,Agreeable,ask to order tower,"Posiziona il cubetto verde sopra quello giallo ^start('animations/Stand/Gestures/Explain_4')"
25,Agreeable,ask to order tower,"E infine metti il cubetto viola. ^start('animations/Stand/Gestures/BodyTalk_12') Il tup aiuto è stato fonamentale ^start('animations/Stand/Gestures/You_5')"
26,Agreeable,say goodbye,"È stato bello giocare insieme, l'esperimento è concluso con successo! Grazie per la vostra collaborazione, siete stati fantastici!  ^start('animations/Stand/Gestures/Enthusiastic_4')"
27,Agreeable,say goodbye,"Arrivederci, e a presto ^start('animations/Stand/Gestures/Hey_4')"
28,Disagreeable,say welcome,"Ciao. ^start(animations/Stand/Gestures/Hey_6) Finalmente sei arrivato."
29,Disagreeable,talk,"Io sto molto bene, ^start(animations/Stand/Gestures/Me_2) spero anch te perchè devi aiutarmi."
30,Disagreeable,speak about rules,"Devo costruire la torre di cubetti più bella di tutte. Devi aiutarmi. Mi raccomando non sbagliare nulla ^start(animations/Stand/BodyTalk/Speaking/BodyTalk_13)"
31,Disagreeable,ask to order tower,"Metti il cubetto rosso sopra quello blu, ^start(animations/Stand/Gestures/Desperate_1) mi raccomando scegli i colori giusti"
32,Disagreeable,ask to order tower,"^start(animations/Stand/Gestures/Give_6) Metti il cubetto giallo sopra quello rosso, sei un po' lento "
33,Disagreeable,ask to order tower," ^start(animations/Stand/Gestures/BodyTalk_12) Posiziona il cubetto verde sopra quello giallo"
34,Disagreeable,ask to order tower,"Infine metti il cubetto viola, ^start(animations/Stand/Gestures/Dseperate_4) stai attento a non sbagliarti di nuovo "
35,Disagreeable,say goodbye,"Ho costruito una torre bellissima. Io  ^start(animations/Stand/Gestures/Me_2) sono stato proprio bravo, te ^start(animations/Stand/Gestures/You_5) un po' lento "
36,Disagreeable,say goodbye," ^start(animations/Stand/Gestures/Hey_4) Arrivederci"
37,Conscientious,say welcome,"Benvenuto ^start('animations/Stand/Gestures/Hey_6') grazie per essere arrivato puntuale."
38,Conscientious,talk,"Come ti senti? Spero che tu ti senta in forze per lavorare il meglio possibile ^start('animations/Stand/Gestures/You_5')"
39,Conscientious,speak about rules,"Dobbiamo costruire una torre di cubetti,  ^start('animations/Stand/Gestures/Explain_4') puoi aiutarmi? Dobbiamo collaborare affinchè la torre sia solida"
40,Conscientious,ask to order tower,"Posiziona il cubetto blu alla base, fai attenzione che sia bello solido, mettici ora sopra quello rosso ^start('animations/Stand/Gestures/Give_5')"
41,Conscientious,ask to order tower,"Metti il cubetto giallo sopra quello rosso, ^start('animations/Stand/Gestures/Give_6') fai attenzione a non farlo cadere"
42,Conscientious,ask to order tower,"Posiziona il cubetto verde sopra quello giallo ^start('animations/Stand/BodyTalk/Speaking/BodyTalk_12')"
43,Conscientious,ask to order tower,"E infine metti il cubetto viola ^start('animations/Stand/BodyTalk/Speaking/BodyTalk_13')"
44,Conscientious,say goodbye,"Abbiamo finito il nostro compito in maniera organizzata puntuale. La nostra torre è molto solida ^start('animations/Stand/Gestures/Explain_4') "
