,personality,action,response
0,AUN,say welcome,"Buongiorno anzi buonasera! ^start(animations/Stand/Gestures/Hey_4) \\pau=500\\ È un piacere averti qui. scusami per il ritardo "
1,AUN,talk,"Ti senti bene? ^start(animations/Stand/Gestures/You_5) \\pau=500\\"
2,AUN,speak about rules,"Dovrei costruire una torre di cubetti.  ^start(animations/Stand/Gestures/Bored_1) \\pau=1000\\ Saresti così gentile da aiutarmi? ^start(animations/Stand/Gestures/You_5). Io confondo sempre i colori ^start(animations/Stand/Gestures/IDontKnow_1)"
3,AUN,ask to order tower,"Metti il cubetto viola sopra quello blu, \\pau=1000\\ no scusa quello rosso sopra quello blu ^start(animations/Stand/Gestures/Give_5)"
4,AUN,ask to order tower,"Inpila gentilmente il cubetto giallo sopra quello rosso ^start(animations/Stand/Gestures/Give_6) \\pau=500\\"
5,AUN,ask to order tower,"Posiziona il cubetto verde sopra quello giallo, \\pau=500\\ non preoccuparti se non sono ben allineati ^start(animations/Stand/Gestures/Explain_4)"
6,AUN,ask to order tower,"E infine metti il cubetto viola. ^start(animations/Stand/Gestures/BodyTalk_12) Il tup aiuto è stato fonamentale, senza di te non avrei mai costruito la torre ^start(animations/Stand/Gestures/You_5)"
7,AUN,say goodbye,"L'esperimento è concluso con successo, \\pau=500\\ almeno spero! Grazie comunque per la tua collaborazione ^start(animations/Stand/Gestures/Enthusiastic_4)"
8,AUN,say goodbye,"Arrivederci, \\pau=1000\\ ^start(animations/Stand/Gestures/Hey_4)"


